"","Marca temporal","Fecha","Titular","Enlace","Horario","Duración","Analista","Tipo_noticiero","Noticiero","Nivel_gobierno","Organización","Tendencia","id"
"591",2022-06-03 21:59:08,2022-06-03,"Entrevista a José Adrián, cantante leones.","https://drive.google.com/file/d/148XS6udftPq-b1EaoJRWqhnSZ6mu0_mc/view?usp=sharing","Nocturno",00:08:00,"Elisa","Radio","En Línea de Fuego"," municipios","leon",NA,2022-06-03 21:59:08
"592",2022-06-03 21:59:49,2022-06-03,"5 de junio Dia Mundial del Medio Ambiente.","https://drive.google.com/file/d/1eyr523km3YbIVdEZgh5F7ZmtwAqbWk-l/view?usp=sharing","Nocturno",00:09:40,"Elisa","Radio","Ultra FM","gobierno estatal","smaot",NA,2022-06-03 21:59:49
"593",2022-06-03 21:59:49,2022-06-03,"5 de junio Dia Mundial del Medio Ambiente.","https://drive.google.com/file/d/1eyr523km3YbIVdEZgh5F7ZmtwAqbWk-l/view?usp=sharing","Nocturno",00:09:40,"Elisa","Radio","Ultra FM"," municipios","smaot",NA,2022-06-03 21:59:49
"594",2022-06-03 22:05:26,2022-06-03,"5 de junio, Día Internacional del Medio Ambiente en Guanajuato, hay varios retos por cumplir.","https://drive.google.com/file/d/1Uv4zrEV1FMgTqaGOMd4B7SFXIGaIRnqH/view?usp=sharing","Nocturno",00:03:07,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","smaot",NA,2022-06-03 22:05:26
"595",2022-06-03 22:05:44,2022-06-03,"Dos tlacuaches adultos y 9 crías fueron localizados en distintos puntos del municipio de Cortázar.","https://drive.google.com/file/d/1sqlVIZ0rl8E_7KGprI1cukbQEVHCm3Gn/view?usp=sharing","Nocturno",00:00:53,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","cortazar",NA,2022-06-03 22:05:44
"596",2022-06-03 22:05:44,2022-06-03,"Dos tlacuaches adultos y 9 crías fueron localizados en distintos puntos del municipio de Cortázar.","https://drive.google.com/file/d/1sqlVIZ0rl8E_7KGprI1cukbQEVHCm3Gn/view?usp=sharing","Nocturno",00:00:53,"Alejandro","Televisión","Televisa Bajío"," municipios","cortazar",NA,2022-06-03 22:05:44
"597",2022-06-03 22:06:04,2022-06-03,"Rescatan yegua en Cumbres, sufría de insolación.","https://drive.google.com/file/d/1iKyiPVOKcHfORvqX5mxyyCHmKE5NtUqJ/view?usp=sharing","Nocturno",00:01:42,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","leon",NA,2022-06-03 22:06:04
"598",2022-06-03 22:06:04,2022-06-03,"Rescatan yegua en Cumbres, sufría de insolación.","https://drive.google.com/file/d/1iKyiPVOKcHfORvqX5mxyyCHmKE5NtUqJ/view?usp=sharing","Nocturno",00:01:42,"Alejandro","Televisión","Televisa Bajío"," municipios","leon",NA,2022-06-03 22:06:04
"599",2022-06-03 22:15:33,2022-06-03,"El Gobernador de Guanajuato le atino al negocio con la arrendadora Guanajuato Leasing Service.","https://drive.google.com/file/d/1kuJPqibUPN94NlgSLX-opvj7P_4Vsjqt/view?usp=sharing","Nocturno",00:02:21,"Alejandro","Televisión","Canal 8","gobierno estatal","gobernador",NA,2022-06-03 22:15:33
"600",2022-06-03 22:15:50,2022-06-03,"El incremento de sueldo será una realidad para la policía de la Capital.","https://drive.google.com/file/d/1zV344EeuiqtF4ndLoeLSRZWKhi9qX--h/view?usp=sharing","Nocturno",00:02:53,"Alejandro","Televisión","Canal 8","gobierno estatal","guanajuato",NA,2022-06-03 22:15:50
